"Scenario","Ccns_uM","TLR4_occ","OPRM1_occ","Pain_VAS","Pain_red","CPT","TNF","IL1B","IL6","IL10","IL17","TGF","BDNF","TAC1","OPRM1_fold","Endo_fold"
"LDN 1.5mg",1.3e-05,0.000128584121495814,1.28331688055281,2.19102351137825,68.6996641231678,59.4798333208079,1.55964012910839,3.05836086783445,10.8501991039886,3.0564491842843,1.61606340634487,2.05891740924571,2.18453146309642,0.794231706709931,1.0602429808909,1.18921981704433
"LDN 3.0mg",2.6e-05,0.00025716791198385,2.53411306042885,2.18756316434202,68.7490976522569,59.5334119985825,1.55963903603409,3.05836046886936,10.8501925768582,3.05644939153281,1.61606227615318,2.05891612187936,2.18453083908779,0.794231498254056,1.11239023655505,1.35841607608982
"LDN 4.5mg",3.9e-05,0.000385751371465387,3.75360923965351,2.18500142079265,68.7856939886765,59.5733997023046,1.5596379429618,3.05836006990419,10.8501860497385,3.0564495987816,1.616061145964,2.05891483451593,2.18453021508016,0.794231289798562,1.15796017161367,1.51043120390633
"LDN 6.0mg",5.2e-05,0.000514334499941703,4.94296577946768,2.18308411879256,68.8130840172491,59.6038028681259,1.55963684989154,3.05835967093892,10.8501795226292,3.05644980603068,1.61606001577734,2.05891354715542,2.18452959107354,0.79423108134345,1.19811776062078,1.64762279936419
"Placebo",0,-2.35123059436032e-22,0,2.19582567230215,68.631061824255,59.4057411438404,1.55964122218472,3.05836126679946,10.8502056311294,3.05644897703608,1.61606453653907,2.05891869661499,2.18453208710606,0.794231915166186,1,1
"Standard 50mg",0.00137,0.0135489677997278,57.8059071729958,2.39436321225885,65.7948112534451,58.5420412740302,1.55952603987041,3.05831922153945,10.8495178287546,3.05647081937842,1.61594544528856,2.05878304378927,2.1844663316209,0.794209949179106,1.74295010845416,3.79230590605334
