"Dose","Cmax_nM","Cmin_nM","Cav_nM","Cmax_CNS_nM","Cav_CNS_nM","Cmet_nM","OGF_benefit","Hyper_harm","Pain_reduction","Optimal"
1.5,2.68191835842,0.105576011387977,0.622571009387631,0.0482125984633055,0.0176002550143852,1.27083032728623,10.8514473037171,0.0309385624298571,10.8205087412873,FALSE
3,5.36383775991242,0.211151998157436,1.24514191166912,0.0964251998142198,0.0352005105107878,2.54166067581912,19.588207863218,0.123296499119718,19.4649113640983,FALSE
4.5,8.04576267776738,0.316727423413068,1.86771242776297,0.144637778116115,0.0528007444432052,3.81249127897913,24.5051002065367,0.27571715343885,24.2293830530979,FALSE
6,10.7276831073268,0.422303232013726,2.4902831856402,0.192850371994113,0.0704009946589844,5.08332170578179,27.3828523485431,0.485995055625445,26.8968572929177,FALSE
25,44.6986878519445,1.75959750756391,10.376181794903,0.803543227269953,0.293337456549248,21.1805066496872,33.8915353621276,6.40140355279662,27.490131809331,TRUE
50,89.3973996331126,3.51919400766745,20.7523599120974,1.60708654929155,0.586674859328276,42.3610143542844,34.5999073245061,14.4814327950867,20.1184745294194,FALSE
