"Parameter","Value","Pain_VAS","Pain_red","TNF","IL6","BDNF","CPT","OPRM1_fold"
"kon",0.01,4.21098073045683,39.8431324220453,1.5540914928518,10.815220815467,2.18118745845765,40.2868279815285,1.81967213114754
"kon",0.05,4.21097697384275,39.8431860879607,1.55375538966957,10.8132132094028,2.18099552671154,40.2868467648355,1.81967213114754
"kon",0.1,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"kon",0.2,4.21096289346506,39.8433872362134,1.55249670266313,10.8056935356971,2.18027662865173,40.2869171666462,1.81967213114754
"kon",0.5,4.2109347650806,39.8437890702772,1.54998734626379,10.7906959209634,2.17884282227183,40.2870578086162,1.81967213114754
"koff",0.1,4.21089562740173,39.8443481799753,1.54650715663268,10.7698822789829,2.17685299034253,40.2872534970453,1.81967213114754
"koff",0.5,4.21096307750444,39.8433846070794,1.55251313880296,10.80579174211,2.18028601741013,40.2869162456606,1.81967213114754
"koff",1,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"koff",2,4.21097695054028,39.8431864208531,1.55375330007363,10.8132007274033,2.18099433340376,40.2868468804805,1.81967213114754
"koff",5,4.21097977622868,39.843146053876,1.55400610721533,10.8147108052718,2.18113870031279,40.2868327528065,1.81967213114754
"kT_TNF",0.5,4.20724755634142,39.8964634808369,1.06899120394475,10.8107051002943,2.18075574572603,40.3054938520466,1.81967213114754
"kT_TNF",1,4.20926917332732,39.8675832381811,1.30670158218533,10.8107051002943,2.18075574572603,40.2953857672102,1.81967213114754
"kT_TNF",1.5,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"kT_TNF",2.5,4.21293810812332,39.8151698839526,2.01523906006166,10.8107051002943,2.18075574572603,40.2770410932897,1.81967213114754
"kT_TNF",4,4.21360133403957,39.8056952280061,2.61509980190499,10.8107051002943,2.18075574572603,40.2737249638015,1.81967213114754
"kT_IL6",0.3,4.20855077343715,39.8778460937549,1.5533355293381,8.58867335484456,1.96832441250904,40.2989777667496,1.81967213114754
"kT_IL6",0.7,4.20999577530188,39.8572032099732,1.5533355293381,9.85840578081584,2.08971374577589,40.2917527577101,1.81967213114754
"kT_IL6",1,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"kT_IL6",1.5,4.21242757436567,39.8224632233476,1.5533355293381,12.3978706327584,2.3324924123096,40.2795937621564,1.81967213114754
"kT_IL6",2.5,4.21482660905669,39.7881912991901,1.5533355293381,15.5722016976866,2.63596574547673,40.267598588679,1.81967213114754
"kT_IL17",0.3,4.21005393196926,39.8563724004392,1.5533355293381,10.8107051002943,2.18075574572603,40.2914619740393,1.81967213114754
"kT_IL17",0.7,4.21061398002826,39.8483717138821,1.5533355293381,10.8107051002943,2.18075574572603,40.2886617340549,1.81967213114754
"kT_IL17",1,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"kT_IL17",1.5,4.21149533932805,39.8357808667422,1.5533355293381,10.8107051002943,2.18075574572603,40.2842549373314,1.81967213114754
"kT_IL17",2.5,4.21236934562221,39.8232950625398,1.5533355293381,10.8107051002943,2.18075574572603,40.2798849058424,1.81967213114754
"k_up",0.01,4.25243307864325,39.2509560193821,1.5533355293381,10.8107051002943,2.18075574572603,39.7645789567987,1.47618885520967
"k_up",0.03,4.22162879502831,39.6910172138813,1.5533355293381,10.8107051002943,2.18075574572603,40.1526279762714,1.73170731705581
