"Scenario","Ccns_uM","TLR4_occ","OPRM1_occ","Pain_VAS","Pain_red","CPT","TNF","IL1B","IL6","IL10","IL17","TGF","BDNF","TAC1","OPRM1_fold","Endo_fold","M_act","Chronic"
"LDN 1.5mg",1.3e-05,0.000128584121495814,1.28331688055281,6.15317159314618,12.0975486693403,39.6644565542107,2.19221325301367,3.74135802402074,12.6193850787556,2.76339060866557,1.61606340634487,2.05891740924571,2.35366973644226,0.83084172830526,1.06024298089119,1.18921981705682,2.000000109972,1.87452864112568
"LDN 3.0mg",2.6e-05,0.00025716791198385,2.53411306042885,6.13701150048732,12.3284071358954,39.7823829147792,2.19179699881561,3.74135947321674,12.6182694037192,2.76338915033764,1.61606227615318,2.05891612187936,2.35356309111146,0.830818574110519,1.11239023655654,1.35841607612229,2.00000545423782,1.87160593813119
"LDN 4.5mg",3.9e-05,0.000385751371465387,3.75360923965351,6.12518511301192,12.4973555284012,39.8689826407543,2.19149135466455,3.74135942558448,12.6174483320865,2.76338778012218,1.616061145964,2.05891483451593,2.3534845989391,0.830801511762831,1.15796017163749,1.51043120441507,2.00000647017551,1.86945420040901
"LDN 6.0mg",5.2e-05,0.000514334499941703,4.94296577946768,6.11634267927107,12.6236760104133,39.9341772903654,2.19126098079658,3.74135714679463,12.6168272401675,2.76338646995477,1.61606001577734,2.05891354715542,2.35342521995807,0.830788585591602,1.19811776062832,1.64762279959173,2.00000103434942,1.86783810474577
"Placebo",0,6.37021238828216e-22,0,7.55654911241687,-7.95070160595527,29.2693212350605,2.22840171275306,3.74135847761546,12.7161746369909,2.76342063641709,1.61606453653907,2.05891869661499,2.3629230025899,0.832844666953956,1,1,2.00000026794295,2.08300042811475
"Standard 50mg",0.00137,0.0135489677997278,57.8059071729958,7.04896884197077,-0.699554885296736,35.2665177441124,2.21521270098103,3.7413165100336,12.6804815361468,2.76329148622085,1.61594544528856,2.05878304378927,2.35951066121997,0.832098331890606,1.74295010845441,3.79230633089637,2.00000049256225,2.01712935048857
