"Scenario","Ccns_uM","TLR4_occ","OPRM1_occ","Pain_VAS","Pain_red","CPT","TNF","IL1B","IL6","IL10","IL17","TGF","BDNF","TAC1","OPRM1_fold","Endo_fold","M_act","Chronic","PlaceboResp"
"LDN 1.5mg",1.3e-05,0.000128584121495814,1.28331688055281,4.53748283595775,35.178816629175,47.7429873941878,2.16247742770331,3.74135817554683,12.5398547489325,2.76336678317149,1.61606340634487,2.05891740924571,2.34606641959202,0.829195983007679,1.06024298089117,1.18921981704103,2.00000054813496,1.50056634683869,0.100000562924847
"LDN 3.0mg",2.6e-05,0.00025716791198385,2.53411306042885,4.51785662840909,35.4591910227273,47.8781735879252,2.16247898880268,3.74136115891418,12.5398566533349,2.76336565861637,1.61606227615318,2.05891612187936,2.34606660165726,0.829195949026669,1.11239023655566,1.35841607609447,2.00001032871291,1.49489672034264,0.100000472384924
"LDN 4.5mg",3.9e-05,0.000385751371465387,3.75360923965351,4.50341322998844,35.6655252858794,47.9778284298792,2.16247543873532,3.74135728764746,12.539841470406,2.76336452996313,1.616061145964,2.05891483451593,2.34606515013441,0.829195561455328,1.1579601716127,1.51043120383685,2.00000028797431,1.49069601913858,0.100000063588175
"LDN 6.0mg",5.2e-05,0.000514334499941703,4.94296577946768,4.49258417632313,35.8202260525267,48.0529479863917,2.16247723696914,3.74136058903268,12.5398441675899,2.7633634056038,1.61606001577734,2.05891354715542,2.34606540799139,0.829195543879782,1.19811776062194,1.64762279939516,2.00001098815446,1.48753029604258,0.100000088207439
"Placebo",0,8.80884577419619e-22,0,6.13946612244726,12.2933411078963,36.3548298073311,2.19186142753192,3.74135938849879,12.6184466164236,2.76339145144053,1.61606453653907,2.05891869661499,2.35357997016687,0.830822363985102,1,1,2.0000029019139,1.87201411563584,0.100000750149415
"Standard 50mg",0.00137,0.0135489677997278,57.8059071729958,5.42995637710899,22.4291946127287,43.361659082174,2.17346414675978,3.74131647851695,12.5688250488444,2.76325809116896,1.61594544528856,2.05878304378927,2.3488360366152,0.829787805710006,1.74295010845441,3.79230633105198,2.00000040142661,1.7286056935203,0.100000920510036
