"Scenario","week","Pain","Pain_red","TNF","IL6","IL10","CPT","OPRM1_fold","Endo_fold"
"LDN 1.5mg",0,7,0,0.08,0.1,0.015,25,1,1
"LDN 1.5mg",1,3.68783970775546,47.3165756034935,1.56686061568557,10.244190373681,2.89082991708199,42.2341949557665,1.69290622396932,3.14674617901938
"LDN 1.5mg",2,3.42983885714587,51.0023020407734,1.55392343100435,10.814216886046,3.06316215159351,46.5726947316347,1.78944063501172,3.97036200735686
"LDN 1.5mg",3,3.42861875923289,51.0197320109587,1.55392341736627,10.814216888048,3.06316224101572,46.598901495879,1.78947367289978,3.99897051664901
"LDN 1.5mg",4,3.42857739014099,51.0203229979859,1.55392341736626,10.814216888048,3.06316224101577,46.5997235168198,1.78947368420665,3.99996422333597
"LDN 1.5mg",5,3.42857595439627,51.0203435086247,1.55392341736626,10.814216888048,3.06316224101577,46.5997520041573,1.78947368421052,3.99999873090684
"LDN 1.5mg",6,3.42857590349041,51.0203442358512,1.55392341736626,10.814216888048,3.06316224101577,46.5997530141721,1.78947368421052,3.99999995443151
"LDN 1.5mg",7,3.42857590166257,51.0203442619633,1.55392341736626,10.814216888048,3.06316224101577,46.5997530504379,1.78947368421052,3.9999999983638
"LDN 1.5mg",8,3.42857590159694,51.0203442629009,1.55392341736626,10.814216888048,3.06316224101577,46.5997530517401,1.78947368421052,3.99999999994125
"LDN 1.5mg",9,3.42857590159458,51.0203442629345,1.55392341736626,10.814216888048,3.06316224101577,46.5997530517869,1.78947368421052,3.99999999999789
"LDN 1.5mg",10,3.4285759015945,51.0203442629357,1.55392341736626,10.814216888048,3.06316224101577,46.5997530517885,1.78947368421052,3.99999999999992
"LDN 1.5mg",11,3.4285759015945,51.0203442629357,1.55392341736626,10.814216888048,3.06316224101577,46.5997530517885,1.78947368421052,3.99999999999998
"LDN 1.5mg",12,3.4285759015945,51.0203442629357,1.55392341736626,10.814216888048,3.06316224101577,46.5997530517885,1.78947368421052,3.99999999999998
"LDN 4.5mg",0,7,0,0.08,0.1,0.015,25,1,1
"LDN 4.5mg",1,4.39317798857409,37.2403144489415,1.56628174397569,10.2409097023238,2.890917077194,37.3525288796985,1.73411474046613,3.35721059274269
"LDN 4.5mg",2,4.21139210816039,39.8372555977088,1.55333554295583,10.8107050982932,3.06327361440324,40.2773754355527,1.81966443607092,4.12137895255704
"LDN 4.5mg",3,4.21098070425197,39.8431327964005,1.55333552933811,10.8107051002943,3.06327370372079,40.2866997157973,1.81967213045544,4.1369317847378
"LDN 4.5mg",4,4.210972432909,39.8432509584428,1.5533355293381,10.8107051002943,3.06327370372084,40.2868671322822,1.81967213114748,4.13724827000134
"LDN 4.5mg",5,4.21097226329776,39.8432533814605,1.5533355293381,10.8107051002943,3.06327370372084,40.2868705589971,1.81967213114754,4.13725476087856
"LDN 4.5mg",6,4.21097225968964,39.8432534330052,1.5533355293381,10.8107051002943,3.06327370372084,40.2868706318912,1.81967213114754,4.13725489895886
"LDN 4.5mg",7,4.21097225961286,39.843253434102,1.5533355293381,10.8107051002943,3.06327370372084,40.2868706334423,1.81967213114754,4.13725490189691
"LDN 4.5mg",8,4.21097225961123,39.8432534341253,1.5533355293381,10.8107051002943,3.06327370372084,40.2868706334753,1.81967213114754,4.13725490195943
"LDN 4.5mg",9,4.2109722596112,39.8432534341257,1.5533355293381,10.8107051002943,3.06327370372084,40.2868706334759,1.81967213114754,4.13725490196075
"LDN 4.5mg",10,4.2109722596112,39.8432534341257,1.5533355293381,10.8107051002943,3.06327370372084,40.2868706334759,1.81967213114754,4.13725490196077
"LDN 4.5mg",11,4.2109722596112,39.8432534341257,1.5533355293381,10.8107051002943,3.06327370372084,40.2868706334759,1.81967213114754,4.13725490196077
"LDN 4.5mg",12,4.2109722596112,39.8432534341257,1.5533355293381,10.8107051002943,3.06327370372084,40.2868706334759,1.81967213114754,4.13725490196077
"LDN 6.0mg",0,7,0,0.08,0.1,0.015,25,1,1
"LDN 6.0mg",1,4.55343664509603,34.9509050700568,1.56586861089818,10.2385691369039,2.89097968879232,36.2827496822004,1.74035548851036,3.39027258760612
"LDN 6.0mg",2,4.39168759330208,37.2616058099703,1.55291598073724,10.8081985410882,3.06335328112523,38.8659264662519,1.82416988587927,4.1436939644998
"LDN 6.0mg",3,4.39143628621056,37.2651959112777,1.552915967134,10.808198543089,3.06335337036842,38.8718634980524,1.82417582375512,4.15763202277281
"LDN 6.0mg",4,4.39143168730926,37.2652616098677,1.55291596713399,10.808198543089,3.06335337036847,38.871956967667,1.82417582417579,4.15788980394598
"LDN 6.0mg",5,4.39143160102172,37.2652628425469,1.55291596713399,10.808198543089,3.06335337036847,38.8719587171217,1.82417582417582,4.15789464122749
"LDN 6.0mg",6,4.3914315993492,37.26526286644,1.55291596713399,10.808198543089,3.06335337036847,38.8719587510301,1.82417582417582,4.1578947349888
"LDN 6.0mg",7,4.39143159931678,37.2652628669031,1.55291596713399,10.808198543089,3.06335337036847,38.8719587516874,1.82417582417582,4.15789473680618
