"sample","Pain_VAS","Pain_red","TNF","IL6","BDNF","CPT","kon","koff","kT_TNF","kT_IL6","k_up","k_reb","Kd_OPRM1","k_hyper","kIL6_BDNF","kB_TAC1","kdTNF","kdIL6"
1,4.30619144683356,38.4829793309491,0.857607403080733,6.93438762686017,2.18654878990947,40.7943760121624,0.281344399730558,4.60918439252488,1.01151891659751,1.82577622762012,0.109048395336846,0.0237925100238062,0.00160754372352734,0.708536846157318,0.783868809146418,1.16368314729678,1.21439668753045,0.224744071628743
2,6.4800649779789,7.42764317173002,3.21937358142435,4.96701957786,1.60391927975444,27.7876023811691,0.116733043436504,2.47465407243324,3.2875377616294,0.416795490409403,0.0686559114536503,0.0240981885974761,0.000215917146980763,1.11557597103839,0.480871435208789,0.892503172164317,0.364035984364804,0.209275524027335
3,3.53441799033601,49.5083144237713,0.767349174422004,18.4612674665128,4.16561908253221,43.2960855296622,0.317667929418897,0.906420351396703,1.61506839506173,1.505328745245,0.0178850963899633,0.0406940108563867,0.00082825224975124,0.177574299213709,0.855097724480632,2.33710667761353,1.75477900899015,0.0779013048805452
4,2.88033648580264,58.8523359171051,2.28020581823327,4.63756406839155,1.57917049451474,50.2671105783441,0.0412687666090981,3.75913677866873,3.06119363106128,1.25117349997365,0.0930001453981036,0.0377299034421449,0.00465047879970074,0.157238256706313,0.487122474859003,2.19165456858448,0.675065639505628,0.29048371367529
5,3.92820497604545,43.8827860564936,0.674825143954657,6.72677290153534,1.69467017744939,43.7304861338713,0.0868319908647332,3.52165898233536,0.582740686278945,0.408458398594676,0.0947315230618541,0.0467978491955437,0.00250220246589929,0.729387016793635,0.425631290065823,2.39483970227915,1.34191153887147,0.154083083875322
6,4.32401496226543,38.2283576819224,1.99494612493701,3.32185421827512,1.44861118263615,40.4395227194656,0.474110626557252,1.12671886051625,3.73975701708929,0.664631206139457,0.0275877820301646,0.0647917706828448,0.00153783951727301,0.686455682785871,0.474505014854483,1.44735849335526,0.987455407726113,0.339905717955281
7,6.08719367055569,13.0400904206329,2.88901790565012,3.6408577517446,1.30786077312137,30.2210278497089,0.265702834945017,0.921731361355632,3.70291982553472,0.811414864059072,0.0427087917038938,0.00986915022588801,0.000598189843486994,1.13781787581998,0.230745582691937,0.543481337180516,0.531252605414949,0.325101968249345
8,3.08136033409005,55.9805666558564,1.11332100098483,7.32210147200238,1.35949347005668,47.8108579273062,0.0158342553631868,0.772300144206034,2.23240100880192,1.24181288587954,0.0402279390095733,0.0248920592085924,0.00264002140754834,0.145418986570633,0.151616424962335,1.88049662521,1.37095725481026,0.183502365572883
9,2.98508536348053,57.3559233788495,1.0674327672989,8.3184179664863,2.37775249195106,49.7017493781643,0.484987359889294,2.92628399542013,3.4535680280847,1.44387537826085,0.119438171636655,0.0399295713232714,0.00443608132995665,0.263296802333323,0.77366219860944,0.906426769313868,1.96690025522932,0.170342392691333
10,3.4349712699668,50.9289818576172,1.52792820691585,12.7388982254395,1.90975386342653,46.9029175235664,0.20514663952163,2.23891318398955,2.37582038627394,0.695715120221799,0.030667655238905,0.0454692528047599,0.00397932032442838,0.618045126966356,0.313057898347654,2.44492538506848,0.972146960744169,0.0896493108562039
11,3.13475626316926,55.2177676690106,1.65934815293002,7.87593867361904,2.55302715370038,47.8351274123092,0.151674657481078,4.20703422252795,1.38886060307578,1.92133143662118,0.0856493452706374,0.0363750834358507,0.00271029116784036,0.204573413394547,0.933518189835595,0.451495247149995,0.604461321150884,0.202376211108523
12,5.11827203111814,26.8818281268837,1.24963784631284,4.44844105484766,1.84383810583539,36.0920048749137,0.251732157059697,4.29713479040734,3.9618574052793,0.83049674326942,0.0944459500319945,0.0529096977686859,0.00112421582509205,0.95466262815784,0.819000015645676,0.8155311010705,1.82821791491564,0.267922492676531
13,4.59868266150882,34.3045334070168,1.3839448669025,4.46377152388748,1.2726188332466,39.4797525836446,0.41122592313926,3.31483480772267,2.71686848825659,1.73361335895459,0.0659010735771153,0.0751065234511625,0.00169970181499049,0.897691484319589,0.146915337035122,2.43782890128034,1.21098630798794,0.341405561508533
14,4.56059153647155,34.8486923361207,1.57230062287493,3.20813173630115,1.75332044348504,37.7104206860644,0.346910612783232,0.446656238794948,1.0182873626259,0.953010029934968,0.0934874193582218,0.0277800515549025,0.00043408880309388,0.51905967908601,0.988072242657188,0.484261691764928,0.538740605731495,0.384335341652351
15,3.53227770803423,49.5388898852252,0.621591571325245,3.85495091556179,1.80061390959311,46.471045224812,0.211803130694688,0.392502477122238,1.20153499558102,0.908684345581258,0.0259761483125078,0.0521414869760047,0.00419911767124012,0.765173599796525,0.886447278323894,2.00754624199184,1.93993864651397,0.315975870766561
16,3.59480532533403,48.6456382095138,1.06503709507214,8.55086568273754,2.70813423529904,46.5600922410476,0.13509481512579,4.74767274398884,2.62543763123763,1.12287517674733,0.0598641860757256,0.0799092625772464,0.00438926493400335,0.904246482336816,0.954703576632542,1.63371591790564,1.61613244267553,0.152000681847916
17,3.25866015345141,53.4477120935512,0.815584815392478,5.20405700950041,2.22389631404614,46.1819245210246,0.0712656818204326,1.75586259699419,1.58164792801874,0.682704234759323,0.0589795357576106,0.0565810977694346,0.00173084146721661,0.172184310277924,1.08203613299807,0.623369454491728,1.61586196781881,0.218574791163943
18,3.87807125507544,44.5989820703508,1.59929667732208,8.84781438913193,1.43725009884425,41.7128230987231,0.229939425581298,1.41937213402591,2.46429907924728,2.29553779813275,0.0662877041098584,0.0472718139245408,0.000792290366500616,0.328451627648358,0.171434204001678,0.898066560168751,0.943832023159601,0.195573735683807
19,3.58214101999338,48.8265568572374,2.18851714926386,7.45354628200875,2.6759278064215,46.1846233016925,0.118822906737061,0.517972565023539,2.33995322463646,0.376472942857537,0.0600839184211412,0.0678020137568237,0.00355939886386693,0.69179000123598,1.07265751430066,1.85263652785619,0.569243059498258,0.137387378969346
20,3.31985214641871,52.573540765447,0.793728029243043,7.48580984835148,2.04068803202154,47.4628764965254,0.0113424099145612,3.39294387892052,0.928984711645947,1.41374975748764,0.0157635111210945,0.0765214563591289,0.00448212809758633,0.566025198137853,0.624220826087597,2.08913386523662,1.29099224361824,0.187971202621663
21,3.52710159830381,49.6128343099456,0.858660930471256,9.73232360622421,1.82442420312423,45.1991563923706,0.19354279820687,0.828356984214003,1.06889716183806,1.73819332776483,0.0298236637815135,0.00740778269647853,0.00268894907402992,0.437914974989835,0.363915003820322,0.443536899684463,1.24205786726857,0.156662827514811
22,3.74505808225254,46.4991702535351,2.08477401590479,7.51764226760253,2.38534465036215,45.112155453076,0.237772627641532,1.48210287392031,0.87232842902032,1.66102563213759,0.103475594123127,0.0286021828483208,0.00314200642647967,0.740735846404374,0.86135417074842,0.813303151871233,0.296019101697952,0.199122317289662
23,3.15649695537044,54.9071863518508,1.13434689181645,4.46694336883542,1.72954446524919,48.1284437062042,0.0663744530716601,3.62618937254542,1.15675646609898,1.00639879794993,0.11820775490168,0.026445201294031,0.00323834138238058,0.285433236595864,0.681790052343393,1.24137006483444,0.90344706285838,0.281372441884906
24,3.7731443215058,46.0979382642028,1.41536325501232,4.59102575142187,1.6446005877102,44.9768992766511,0.25380144438978,4.56519449565288,3.80147993851181,1.55302725473559,0.0777513899225974,0.0550715342609328,0.0031100841735974,0.771744470210668,0.56659692508122,0.469796045245758,1.53224005149165,0.317583111458148
25,4.04873853755243,42.1608780349652,3.45188887548492,7.05902372260277,2.64168776573384,43.5923501170348,0.077813217989301,1.86028072683606,3.81374286649982,1.2756676750031,0.0650213369253014,0.0102757571468828,0.0036977570418343,1.10842345637588,1.10723909168364,1.5065088357674,0.372013955438975,0.192087515413684
26,5.72544178115972,18.2079745548612,2.39377336923013,5.59723887605618,1.62725345201243,32.4061165617575,0.107850705186704,0.648042157519531,3.65158562633907,0.852371909001997,0.104733451846071,0.0723298840203206,0.000722755485150963,1.05757664600154,0.448531072126391,0.551487609559981,0.733690397871658,0.214273423323253
27,3.03980860035377,56.574162852089,1.16978387585328,7.30419062636157,1.2935766558388,48.8549555655906,0.40806556036075,3.96823855115434,1.1878459628392,1.29367514254494,0.0214323986847963,0.0651019217353896,0.00416657356861979,0.258828407498154,0.104789969099996,0.655301991814747,0.879358378310688,0.186489434085321
28,4.25081706817774,39.2740418831752,1.12783792888868,10.3681626141012,2.36901923111863,39.4014619869225,0.0381177080267575,4.84539383545471,2.32344879274451,0.399347569252985,0.0496657995390939,0.0642262341674068,0.000529685698308051,0.424420002303629,0.616306940446685,0.360482363825664,1.38696833388321,0.0996494784866227
29,3.44398808665485,50.800170190645,1.14203464938412,7.17578506758261,1.603665129958,44.9210075173217,0.142028656016833,2.10348806607087,2.76709494986261,2.35665534721967,0.0284894556847711,0.0458495197736193,0.00161306047942862,0.243608642476611,0.332670029438954,1.7084211674165,1.5444379932615,0.244426839470475
30,4.56226016577671,34.8248547746184,0.989748719851222,4.77392288657507,1.80535109263093,39.0771986626211,0.252935715053929,2.14090587871273,1.97344129605684,2.12173467309509,0.0805350383550705,0.0348740590593079,0.00128867501699552,0.744189114102007,0.720997447222937,2.37744214186243,1.45735931013199,0.349166933785464
31,4.80317745905709,31.3831791563273,1.58955635221461,6.11432085392833,2.31715783918045,38.3447111763766,0.468300232510827,3.81864709720582,2.24295902441139,2.01069608178347,0.0517616564094167,0.0381605020181741,0.00168452809520438,0.986694468335326,1.00072201722659,1.93761239841674,0.887170399678405,0.265928216344095
32,3.62169288684212,48.2615301879697,2.41537490094406,4.48836823736797,1.24644276900178,44.5922533529387,0.383080373429453,3.01127583164629,2.04655225916921,2.03558137291747,0.0577093904532104,0.0727718638033257,0.00190979554716498,0.405047926080335,0.11560898180306,1.04469647805439,0.417463771813549,0.364294156440961
33,3.53428389205872,49.5102301134468,0.555865326373009,6.2417215099288,1.8353090234937,45.3767912498442,0.437583138412571,4.98144218237263,0.544078097968983,1.54432284402273,0.054597184606075,0.0725652784954873,0.00224287802207842,0.412725559506643,0.576550265363107,0.96022041056926,1.67310970492894,0.233039125102805
34,4.46722236006536,36.182537713352,1.32209709130885,5.97784530850693,1.79048316526125,40.455787818413,0.195928971039605,2.44051225829598,3.7261406991301,0.846618244330088,0.0333277451635338,0.0324413435467868,0.00219086734459177,0.962280329561016,0.562782537970459,0.973170275890734,1.63130133349402,0.200350336583021
35,6.28804811697928,10.1707411860102,2.23905787906538,3.38977668051443,1.47709442178419,29.0117117305482,0.258410432765773,0.238874445155961,2.15284191565433,0.568508917555834,0.0880989970717812,0.0518464589017676,0.000387515412174165,1.12419479746534,0.508943210285312,0.933407373384417,0.504107974431012,0.321937996195164
